quarter_cad_number,wall_material_code,year_build,floor,area,period_start_date,deal_price,price_per_sqm
78:10:0005217,Крупнопанельные,1971,8,50.3,2025-07-01,7250000.0,144135.1888667992
78:10:0005217,Кирпичные,1969,2,35.5,2025-07-01,6500000.0,183098.5915492958
78:10:0005217,Крупнопанельные,1966,1,55.7,2025-07-01,6400000.0,114901.2567324955
78:10:0005217,Крупнопанельные,1966,2,98.1,2025-07-01,15099000.0,153914.373088685
78:10:0005217,Крупнопанельные,1966,3,91.9,2025-07-01,12400000.0,134929.27094668118
78:10:0005217,Крупнопанельные,1966,4,121.6,2025-07-01,18150000.0,149259.86842105264
78:10:0005217,Крупнопанельные,1966,5,76.8,2025-07-01,14400000.0,187500.0
78:10:0005217,Крупнопанельные,1966,7,141.0,2025-07-01,21910000.0,155390.0709219858
78:10:0005217,Крупнопанельные,1966,9,80.3,2025-07-01,12180000.0,151681.19551681197
78:10:0005217,Кирпичные,1965,6,52.1,2025-07-01,7945000.0,152495.20153550862
78:10:0005217,Кирпичные,1995,1,48.1,2025-07-01,7400000.0,153846.15384615384
78:10:0005217,Крупнопанельные,1965,1,31.1,2025-07-01,4550000.0,146302.2508038585
78:10:0005217,Крупнопанельные,1965,3,45.6,2025-07-01,6350000.0,139254.38596491228
78:10:0005217,Крупнопанельные,1965,4,164.0,2025-07-01,27500000.0,167682.92682926828
78:10:0005217,Крупнопанельные,1965,5,45.4,2025-07-01,7180000.0,158149.77973568282
78:10:0005217,Крупнопанельные,1966,2,45.8,2025-07-01,7100000.0,155021.8340611354
78:10:0005217,Крупнопанельные,1970,3,30.6,2025-07-01,6900000.0,225490.19607843136
78:10:0005217,Крупнопанельные,1970,6,46.1,2025-07-01,7350000.0,159436.00867678958
78:10:0005217,Крупнопанельные,1970,8,61.3,2025-07-01,8800000.0,143556.2805872757
78:10:0005217,Крупнопанельные,1971,3,50.6,2025-07-01,7300000.0,144268.7747035573
78:10:0005217,Крупнопанельные,1995,4,33.4,2025-07-01,6275000.0,187874.251497006
78:10:0005218,Кирпичные,1966,5,34.4,2025-07-01,7300000.0,212209.3023255814
78:10:0005218,Кирпичные,1966,7,50.7,2025-07-01,10000000.0,197238.6587771203
78:10:0005218,Кирпичные,1966,9,80.3,2025-07-01,14500000.0,180572.8518057285
78:10:0005218,Кирпичные,1967,1,32.2,2025-07-01,4850000.0,150621.11801242235
78:10:0005218,Крупнопанельные,1965,1,30.9,2025-07-01,4750000.0,153721.68284789645
78:10:0005218,Крупнопанельные,1965,2,30.9,2025-07-01,5000000.0,161812.29773462785
78:10:0005218,Крупнопанельные,1966,1,107.9,2025-07-01,17300000.0,160333.6422613531
78:10:0005218,Крупнопанельные,1966,2,99.0,2025-07-01,17700000.0,178787.87878787878
78:10:0005218,Крупнопанельные,1966,3,59.8,2025-07-01,5840000.0,97658.86287625419
78:10:0005218,Крупнопанельные,1966,5,93.0,2025-07-01,9075000.0,97580.64516129032
78:10:0005218,Кирпичные,1968,4,47.5,2025-07-01,7900000.0,166315.7894736842
78:10:0005218,Кирпичные,1968,6,46.0,2025-07-01,7400000.0,160869.5652173913
78:10:0005218,Кирпичные,1969,11,48.8,2025-07-01,10000000.0,204918.03278688525
78:10:0005218,Кирпичные,1969,6,47.4,2025-07-01,9450000.0,199367.08860759495
78:10:0005218,Кирпичные,1969,8,35.8,2025-07-01,8550000.0,238826.81564245812
78:10:0005218,Крупнопанельные,1965,1,151.9,2025-07-01,22300000.0,146807.1099407505
78:10:0005218,Крупнопанельные,1965,2,111.5,2025-07-01,18450000.0,165470.85201793723
78:10:0005218,Крупнопанельные,1965,3,61.5,2025-07-01,10300000.0,167479.67479674798
78:10:0005218,Крупнопанельные,1965,4,80.0,2025-07-01,11900000.0,148750.0
78:10:0005218,Крупнопанельные,1965,5,103.9,2025-07-01,19235000.0,185129.93262752646
78:10:0005218,Крупнопанельные,1972,4,44.2,2025-07-01,6700000.0,151583.71040723982
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2011,4,108.5,2025-07-01,25150000.0,231797.2350230415
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2011,9,85.8,2025-07-01,19000000.0,221445.22144522145
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2012,11,36.9,2025-07-01,10400000.0,281842.8184281843
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2012,5,28.2,2025-07-01,9000000.0,319148.93617021275
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2012,8,37.0,2025-07-01,10200000.0,275675.6756756757
78:10:0005210,Кирпичные;Монолитные,2012,15,37.6,2025-07-01,11250000.0,299202.12765957444
78:10:0005210,Кирпичные;Монолитные,2012,16,65.1,2025-07-01,18280000.0,280798.7711213518
