quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005225;Непокоренных;Кирпичные;1977;6;69.70000001;01.01.2024;10600000;152080.34
78:10:0005225;Непокоренных;Кирпичные;1977;3;144.00000001;01.01.2024;10200000;70833.33
78:10:0005225;Непокоренных;Кирпичные;1977;8;76.30000001;01.01.2024;10600000;138925.29
78:10:0005225;Непокоренных;Кирпичные;1977;5;90.90000001;01.01.2024;13990000;153905.39
78:10:0005225;Непокоренных;Кирпичные;1977;5;68.80000001;01.04.2024;9200000;133720.93
78:10:0005225;Непокоренных;Кирпичные;1977;6;45.80000001;01.04.2024;7900000;172489.08
78:10:0005225;Руставели;Кирпичные;1969;9;57.10000001;01.07.2024;2700000;47285.46
78:10:0005225;Непокоренных;Кирпичные;1977;8;30.80000001;01.10.2024;5400000;175324.68
78:10:0005225;Непокоренных;Кирпичные;1977;6;50.50000001;01.10.2024;7700000;152475.25
78:10:0005225;Непокоренных;Кирпичные;1977;4;35.90000001;01.10.2024;5150000;143454.04
78:10:0005225;Непокоренных;Кирпичные;1977;4;35.90000001;01.04.2025;6700000;186629.53
78:10:0005225;Непокоренных;Кирпичные;1977;5;31.30000001;01.04.2025;5317935;169902.08
78:10:0005225;Непокоренных;Кирпичные;1977;6;76.10000001;01.04.2025;11950000;157030.22
78:10:0005225;Руставели;Кирпичные;1969;2;54.40000001;01.04.2025;8800000;161764.71
78:10:0005225;Руставели;Кирпичные;1969;6;50.30000001;01.07.2025;8500000;168986.08
78:10:0005225;Руставели;Кирпичные;1969;9;57.10000001;01.07.2025;8500000;148861.65
78:10:0522301;Карпинского;Кирпичные;1970;10;51.90000001;01.01.2024;10300000;198458.57
78:10:0522301;Карпинского;Кирпичные;1968;9;51.50000001;01.04.2024;7500000;145631.07
78:10:0522301;Руставели;Кирпичные;1968;2;48.80000001;01.10.2024;8000000;163934.43
78:10:0522301;Карпинского;Кирпичные;1968;9;93.70000001;01.10.2024;15100000;161152.61
78:10:0522301;Карпинского;Кирпичные;1970;6;35.90000001;01.10.2024;1881440.85;52407.82
78:10:0522301;Руставели;Кирпичные;1968;4;34.60000001;01.10.2024;5950000;171965.32
78:10:0522301;Руставели;Кирпичные;1968;6;34.00000001;01.01.2025;6250000;183823.53
78:10:0522301;Карпинского;Кирпичные;1968;5;67.60000001;01.01.2025;12000000;177514.79
78:10:0005224;Карпинского;Кирпичные;1972;4;183.70000001;01.01.2024;1600000;8709.85
78:10:0005224;Карпинского;Кирпичные;1972;8;91.70000001;01.04.2024;1600000;17448.20
78:10:0005224;Карпинского;Кирпичные;1972;2;96.80000001;01.04.2024;1970000;20351.24
78:10:0005224;Карпинского;Кирпичные;1972;2;193.80000001;01.07.2024;1350000;6965.94
78:10:0005224;Карпинского;Кирпичные;1972;6;184.20000001;01.07.2024;2900496;15746.45
78:10:0005224;Карпинского;Кирпичные;1972;6;194.40000001;01.10.2024;2150000;11059.67
78:10:0005224;Карпинского;Кирпичные;1972;3;97.50000001;01.10.2024;13900000;142564.10
78:10:0005224;Карпинского;Кирпичные;1972;2;100.20000001;01.04.2025;15000000;149700.60
78:10:0005224;Карпинского;Кирпичные;1972;6;184.20000001;01.04.2025;1600000;8686.21
78:10:0005217;Карпинского;Кирпичные;1966;4;33.60000001;01.01.2024;6800000;202380.95
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;9;30.80000001;01.01.2024;5650000;183441.56
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;2;31.20000001;01.01.2024;6090000;195192.31
78:10:0005217;Софьи Ковалевской;Кирпичные;1966;4;57.90000001;01.01.2024;9175000;158462.87
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;44.80000001;01.01.2024;7300000;162946.43
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;10;55.90000001;01.01.2024;9500000;169946.33
78:10:0005217;Карпинского;Кирпичные;1966;2;32.00000001;01.01.2024;6250000;195312.50
78:10:0005217;Карпинского;Кирпичные;1966;8;33.50000001;01.04.2024;3500000;104477.61
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;9;79.60000001;01.04.2024;10700000;134422.11
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;30.60000001;01.04.2024;6699000;218921.57
78:10:0005217;Науки;Кирпичные;1970;5;51.00000001;01.04.2024;7500000;147058.82
78:10:0005217;Карпинского;Кирпичные;1973;1;54.70000001;01.04.2024;6900000;126142.60
78:10:0005217;Науки;Кирпичные;1970;12;50.50000001;01.04.2024;8000000;158415.84
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;9;56.40000001;01.04.2024;9200000;163120.57
78:10:0005217;Северный;Кирпичные;1969;9;58.60000001;01.04.2024;8300000;141638.23
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;4;61.70000001;01.04.2024;10150000;164505.67
78:10:0005217;Карпинского;Кирпичные;1966;6;49.50000001;01.04.2024;7000000;141414.14
78:10:0005217;Северный;Кирпичные;1969;8;84.40000001;01.04.2024;13050000;154620.85
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;8;30.70000001;01.04.2024;5600000;182410.42
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;7;48.90000001;01.04.2024;10500000;214723.93
78:10:0005217;Северный;Кирпичные;1969;3;35.60000001;01.07.2024;3000000;84269.66
78:10:0005217;Карпинского;Кирпичные;1973;3;35.50000001;01.07.2024;6500000;183098.59
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;8;36.90000001;01.07.2024;6950000;188346.88
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;8;31.20000001;01.07.2024;5250000;168269.23
78:10:0005217;Науки;Кирпичные;1970;5;35.60000001;01.07.2024;7400000;207865.17
78:10:0005217;Карпинского;Кирпичные;1966;7;34.20000001;01.10.2024;7000000;204678.36
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;31.20000001;01.10.2024;2650000;84935.90
78:10:0005217;Карпинского;Кирпичные;1973;11;36.80000001;01.10.2024;6200000;168478.26
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;5;48.70000001;01.10.2024;8000000;164271.05
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;9;54.20000001;01.10.2024;10200000;188191.88
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;6;30.40000001;01.10.2024;6000000;197368.42
78:10:0005217;Карпинского;Кирпичные;1966;9;34.50000001;01.01.2025;7260000;210434.78
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;2;97.40000001;01.01.2025;11850000;121663.24
78:10:0005217;Северный;Кирпичные;1969;3;35.60000001;01.01.2025;3000000;84269.66
78:10:0005217;Северный;Кирпичные;1969;9;44.20000001;01.01.2025;6800000;153846.15
78:10:0005217;Северный;Кирпичные;1969;7;36.10000001;01.01.2025;5600000;155124.65
78:10:0005217;Карпинского;Кирпичные;1966;2;32.60000001;01.04.2025;5200000;159509.20
78:10:0005217;Карпинского;Кирпичные;1966;7;35.20000001;01.04.2025;6200000;176136.36
78:10:0005217;Науки;Кирпичные;1970;7;72.70000001;01.04.2025;12300000;169188.45
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;6;44.90000001;01.04.2025;9000000;200445.43
78:10:0005217;Северный;Кирпичные;1969;3;35.20000001;01.04.2025;5850000;166193.18
78:10:0005217;Северный;Кирпичные;1969;8;36.10000001;01.04.2025;6850000;189750.69
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;7;34.00000001;01.04.2025;6100000;179411.76
78:10:0005217;Софьи Ковалевской;Кирпичные;1966;3;55.50000001;01.04.2025;10700000;192792.79
78:10:0005217;Карпинского;Кирпичные;1966;2;46.20000001;01.07.2025;1000000;21645.02
78:10:0005217;Карпинского;Кирпичные;1966;6;49.50000001;01.07.2025;8900000;179797.98
78:10:0005217;Карпинского;Кирпичные;1966;8;35.30000001;01.07.2025;5600000;158640.23
78:10:0005217;Науки;Кирпичные;1966;7;34.70000001;01.07.2025;6700000;193083.57
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;2;45.10000001;01.07.2025;7550000;167405.76
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;3;30.50000001;01.07.2025;6000000;196721.31
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;49.20000001;01.07.2025;7200000;146341.46
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;7;31.10000001;01.07.2025;5700000;183279.74
78:10:0005217;Северный;Кирпичные;1969;2;35.50000001;01.07.2025;6500000;183098.59
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;6;52.10000001;01.07.2025;7945000;152495.20
78:10:0005211;Гражданский;Кирпичные;1959;2;29.50000001;01.01.2024;5500000;186440.68
78:10:0005211;Науки;Кирпичные;1969;9;47.00000001;01.01.2024;7150000;152127.66
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;4;44.90000001;01.01.2024;1000000;22271.71
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;9;30.30000001;01.01.2024;6500000;214521.45
78:10:0005211;Науки;Кирпичные;1969;3;35.10000001;01.04.2024;6100000;173789.17
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;4;34.40000001;01.04.2024;5400000;156976.74
78:10:0005211;Гражданский;Кирпичные;1959;1;73.40000001;01.04.2024;11500000;156675.75
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;4;76.60000001;01.04.2024;12570000;164099.22
78:10:0005211;Науки;Кирпичные;1969;8;36.30000001;01.04.2024;6875000;189393.94
78:10:0005211;Науки;Кирпичные;1969;7;64.50000001;01.07.2024;10800000;167441.86
78:10:0005211;Гражданский;Кирпичные;1969;5;35.30000001;01.07.2024;5750000;162889.52
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;3;30.90000001;01.07.2024;5500000;177993.53
78:10:0005211;Гражданский;Кирпичные;1958;1;44.00000001;01.07.2024;2600000;59090.91
78:10:0005211;Гражданский;Кирпичные;1971;6;35.70000001;01.07.2024;6600000;184873.95
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;11;35.30000001;01.07.2024;5900000;167138.81
78:10:0005211;Гражданский;Кирпичные;1969;9;36.20000001;01.07.2024;5690000;157182.32
78:10:0005211;Гражданский;Кирпичные;1969;11;48.30000001;01.07.2024;8500000;175983.44
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;6;55.70000001;01.07.2024;10480000;188150.81
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;8;44.10000001;01.07.2024;2000000;45351.47
78:10:0005211;Науки;Кирпичные;1969;12;63.90000001;01.07.2024;10850000;169796.56
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;11;35.30000001;01.10.2024;5900000;167138.81
78:10:0005211;Гражданский;Кирпичные;1969;3;35.10000001;01.10.2024;7200000;205128.21
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;2;35.50000001;01.10.2024;6250000;176056.34
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;5;30.90000001;01.10.2024;5800000;187702.27
78:10:0005211;Науки;Кирпичные;1969;11;36.30000001;01.10.2024;6700000;184573.00
78:10:0005211;Гражданский;Кирпичные;1969;4;57.90000001;01.01.2025;11400000;196891.19
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;8;30.40000001;01.01.2025;7150000;235197.37
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;2;31.20000001;01.01.2025;7000000;224358.97
78:10:0005211;Гражданский;Кирпичные;1971;5;54.60000001;01.01.2025;9076758.34;166241.00
78:10:0005211;Науки;Кирпичные;1969;8;36.10000001;01.01.2025;6750000;186980.61
78:10:0005211;Гражданский;Кирпичные;1959;1;52.80000001;01.04.2025;633125;11991.00
78:10:0005211;Гражданский;Кирпичные;1959;3;38.90000001;01.04.2025;6100000;156812.34
78:10:0005211;Гражданский;Кирпичные;1969;9;36.60000001;01.04.2025;4000000;109289.62
78:10:0005211;Науки;Кирпичные;1969;4;35.40000001;01.04.2025;5500000;155367.23
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;4;31.00000001;01.04.2025;6300000;203225.81
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;1;42.60000001;01.04.2025;7400000;173708.92
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;10;43.20000001;01.04.2025;7400000;171296.30
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;4;57.60000001;01.04.2025;11200000;194444.44
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;2;54.90000001;01.04.2025;10200000;185792.35
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;6;54.20000001;01.04.2025;9100000;167896.68
78:10:0005211;Гражданский;Кирпичные;1958;2;29.60000001;01.07.2025;6350000;214527.03
78:10:0005211;Гражданский;Кирпичные;1959;3;52.20000001;01.07.2025;7800000;149425.29
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;3;30.50000001;01.07.2025;7650000;250819.67
78:10:0005211;Науки;"Кирпичные;Крупнопанельные;Каркасно-панельные";1970;4;81.20000001;01.07.2025;14000000;172413.79
78:10:0005211;Софьи Ковалевской;Кирпичные;1969;6;35.30000001;01.07.2025;6850000;194050.99
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;3;54.40000001;01.07.2025;10400000;191176.47
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;7;35.60000001;01.07.2025;6209053;174411.60
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;8;55.30000001;01.07.2025;10000000;180831.83
78:10:0005211;Софьи Ковалевской;Кирпичные;1973;9;37.30000001;01.07.2025;7250000;194369.97
78:10:0005212;Гражданский;Кирпичные;1970;4;45.40000001;01.01.2024;9000000;198237.89
