quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005209;Фаворского;Кирпичные;1965;4;29.70000001;01.07.2024;5400000.0;181818.18
78:10:0005209;Верности;Кирпичные;1965;8;48.50000001;01.07.2024;7900000.0;162886.6
78:10:0005209;Гражданский;Кирпичные;1964;2;101.20000001;01.07.2024;15500000.0;153162.06
78:10:0005209;Гражданский;Кирпичные;1966;5;31.50000001;01.07.2024;6500000.0;206349.21
78:10:0005209;Фаворского;Кирпичные;1965;9;30.20000001;01.07.2024;5000000.0;165562.91
78:10:0005209;Бутлерова;Кирпичные;1973;3;28.60000001;01.07.2024;5300000.0;185314.69
78:10:0005209;Бутлерова;Кирпичные;1963;1;30.50000001;01.07.2024;5000000.0;163934.43
78:10:0005209;Бутлерова;Кирпичные;1965;6;29.90000001;01.07.2024;6250000.0;209030.1
78:10:0005209;Бутлерова;Кирпичные;1964;4;47.70000001;01.07.2024;7600000.0;159329.14
78:10:0005209;Гражданский;Кирпичные;1965;3;28.20000001;01.07.2024;5600000.0;198581.56
78:10:0005209;Бутлерова;Кирпичные;1963;2;43.20000001;01.07.2024;6470000.0;149768.52
78:10:0005209;Гражданский;Кирпичные;1963;3;56.10000001;01.07.2024;8200000.0;146167.56
78:10:0005209;Гражданский;Кирпичные;1963;4;86.10000001;01.10.2024;14550000.0;168989.55
78:10:0005209;Бутлерова;Кирпичные;1964;4;59.50000001;01.10.2024;10700000.0;179831.93
78:10:0005209;Фаворского;Кирпичные;1965;2;60.70000001;01.10.2024;10800000.0;177924.22
78:10:0005209;Гражданский;Кирпичные;1964;3;101.50000001;01.10.2024;15000000.0;147783.25
78:10:0005209;Бутлерова;Кирпичные;1973;5;50.90000001;01.10.2024;8450000.0;166011.79
78:10:0005209;Гражданский;Кирпичные;1966;7;56.70000001;01.10.2024;9000000.0;158730.16
78:10:0005209;Верности;Кирпичные;1964;2;44.70000001;01.10.2024;7500000.0;167785.23
78:10:0005209;Гражданский;Кирпичные;1964;2;50.20000001;01.10.2024;7100000.0;141434.26
78:10:0005209;Гражданский;Кирпичные;1963;1;149.20000001;01.10.2024;18150000.0;121648.79
78:10:0005209;Гражданский;Кирпичные;1968;6;36.00000001;01.10.2024;5800000.0;161111.11
78:10:0005209;Фаворского;Кирпичные;1965;9;30.20000001;01.10.2024;7790000.0;257947.02
78:10:0005209;Гражданский;Кирпичные;1966;6;57.70000001;01.10.2024;9500000.0;164644.71
78:10:0005209;Гражданский;Кирпичные;1966;4;32.50000001;01.10.2024;7600000.0;233846.15
78:10:0005209;Гражданский;Кирпичные;1973;5;71.20000001;01.10.2024;12700000.0;178370.79
78:10:0005209;Верности;Кирпичные;1964;3;48.00000001;01.10.2024;6000000.0;125000.0
78:10:0005209;Бутлерова;Кирпичные;1963;5;42.80000001;01.10.2024;6250000.0;146028.04
78:10:0005209;Бутлерова;Кирпичные;1963;4;56.10000001;01.10.2024;9000000.0;160427.81
78:10:0005209;Гражданский;Кирпичные;1963;5;74.50000001;01.10.2024;13940000.0;187114.09
78:10:0005209;Бутлерова;Кирпичные;1963;1;30.60000001;01.10.2024;7135000.0;233169.93
78:10:0005209;Гражданский;Кирпичные;1965;5;28.40000001;01.10.2024;6300000.0;221830.99
78:10:0005209;Бутлерова;Кирпичные;1965;4;30.00000001;01.10.2024;5500000.0;183333.33
78:10:0005209;Гражданский;Кирпичные;1968;3;29.60000001;01.10.2024;4400000.0;148648.65
78:10:0005209;Верности;Кирпичные;1965;8;45.20000001;01.10.2024;8050000.0;178097.35
78:10:0005209;Фаворского;Кирпичные;1965;5;30.40000001;01.10.2024;5950000.0;195723.68
78:10:0005209;Бутлерова;Кирпичные;1964;2;76.50000001;01.10.2024;12970000.0;169542.48
